location_name,population
Belgium,11530030
Estonia,1290811
Denmark,4341799
Bulgaria,6366016
Switzerland,8774618
Spain,52328725
Georgia,3694739
Croatia,2878002
Luxembourg,605482
United States of America,341912573
Lithuania,2457897
Slovakia,5436328
Finland,5460349
Ireland,5007697
Poland,38236231
Latvia,2462263
Iceland,336599
Romania,33209860
Greece,9874259
Austria,6683850
Cyprus,849766
Portugal,9994685
France,59294146
Norway,4575235
Malta,404654
Hungary,7607118
Czechia,9207354
Slovenia,2163383
Netherlands,14503131
Germany,70535970
Italy,58334934
United Kingdom,67002285
Sweden,9891119
